source_id	tracker_status	checker_checklist	sql_status	checker_sql	mismatch_state	expected_mismatch_state	mismatch_state_match	mismatch_waived	expected_mismatch_waived	waiver_expiry	expected_waiver_expiry	waiver_expiry_match	waiver_aware_result
asamblea_ceuta_diputados	DONE	DONE	DONE	DONE	MATCH	MATCH	TRUE	FALSE	FALSE			TRUE	
asamblea_extremadura_diputados	DONE	DONE	DONE	DONE	MATCH	MATCH	TRUE	FALSE	FALSE			TRUE	
asamblea_madrid_ocupaciones	DONE	DONE	DONE	DONE	MATCH	MATCH	TRUE	FALSE	FALSE			TRUE	
asamblea_melilla_diputados	DONE	DONE	DONE	DONE	MATCH	MATCH	TRUE	FALSE	FALSE			TRUE	
asamblea_murcia_diputados	DONE	DONE	DONE	DONE	MATCH	MATCH	TRUE	FALSE	FALSE			TRUE	
boe_api_legal	N/A	N/A	DONE	DONE	UNTRACKED	UNTRACKED	TRUE	FALSE	FALSE			TRUE	
congreso_diputados	DONE	DONE	DONE	DONE	MATCH	MATCH	TRUE	FALSE	FALSE			TRUE	
congreso_iniciativas	N/A	DONE	DONE	DONE	UNTRACKED	MATCH	FALSE	FALSE	FALSE			TRUE	
congreso_intervenciones	N/A	N/A	DONE	DONE	UNTRACKED	UNTRACKED	TRUE	FALSE	FALSE			TRUE	
congreso_votaciones	N/A	DONE	DONE	DONE	UNTRACKED	MATCH	FALSE	FALSE	FALSE			TRUE	
cortes_aragon_diputados	DONE	DONE	DONE	DONE	MATCH	MATCH	TRUE	FALSE	FALSE			TRUE	
cortes_clm_diputados	DONE	DONE	DONE	DONE	MATCH	MATCH	TRUE	FALSE	FALSE			TRUE	
cortes_cyl_procuradores	DONE	DONE	DONE	DONE	MATCH	MATCH	TRUE	FALSE	FALSE			TRUE	
corts_valencianes_diputats	DONE	DONE	DONE	DONE	MATCH	MATCH	TRUE	FALSE	FALSE			TRUE	
europarl_meps	DONE	DONE	DONE	DONE	MATCH	MATCH	TRUE	FALSE	FALSE			TRUE	
infoelectoral_descargas	DONE	DONE	DONE	DONE	MATCH	MATCH	TRUE	FALSE	FALSE			TRUE	
infoelectoral_procesos	DONE	DONE	DONE	DONE	MATCH	MATCH	TRUE	FALSE	FALSE			TRUE	
jgpa_diputados	DONE	DONE	DONE	DONE	MATCH	MATCH	TRUE	FALSE	FALSE			TRUE	
moncloa_referencias	PARTIAL	PARTIAL	DONE	DONE	MISMATCH	WAIVED_MISMATCH	FALSE	FALSE	TRUE		2026-02-20	FALSE	
moncloa_rss_referencias	PARTIAL	PARTIAL	DONE	DONE	MISMATCH	WAIVED_MISMATCH	FALSE	FALSE	TRUE		2026-02-20	FALSE	
municipal_concejales	DONE	DONE	DONE	DONE	MATCH	MATCH	TRUE	FALSE	FALSE			TRUE	
parlament_balears_diputats	DONE	DONE	DONE	DONE	MATCH	MATCH	TRUE	FALSE	FALSE			TRUE	
parlament_catalunya_diputats	DONE	DONE	DONE	DONE	MATCH	MATCH	TRUE	FALSE	FALSE			TRUE	
parlamento_andalucia_diputados	DONE	DONE	DONE	DONE	MATCH	MATCH	TRUE	FALSE	FALSE			TRUE	
parlamento_canarias_diputados	DONE	DONE	DONE	DONE	MATCH	MATCH	TRUE	FALSE	FALSE			TRUE	
parlamento_cantabria_diputados	DONE	DONE	DONE	DONE	MATCH	MATCH	TRUE	FALSE	FALSE			TRUE	
parlamento_galicia_deputados	PARTIAL	PARTIAL	PARTIAL	PARTIAL	MATCH	MATCH	TRUE	FALSE	FALSE			TRUE	
parlamento_larioja_diputados	DONE	DONE	DONE	DONE	MATCH	MATCH	TRUE	FALSE	FALSE			TRUE	
parlamento_navarra_parlamentarios_forales	PARTIAL	PARTIAL	DONE	DONE	MISMATCH	WAIVED_MISMATCH	FALSE	FALSE	TRUE		2026-02-20	FALSE	
parlamento_vasco_parlamentarios	DONE	DONE	DONE	DONE	MATCH	MATCH	TRUE	FALSE	FALSE			TRUE	
senado_iniciativas	N/A	N/A	DONE	DONE	UNTRACKED	UNTRACKED	TRUE	FALSE	FALSE			TRUE	
senado_senadores	DONE	DONE	DONE	DONE	MATCH	MATCH	TRUE	FALSE	FALSE			TRUE	
senado_votaciones	N/A	DONE	DONE	DONE	UNTRACKED	MATCH	FALSE	FALSE	FALSE			TRUE	
