batch_id,evidence_id,worker_id,worker_stance,worker_confidence,worker_note
factory-20260219-lane_a-001,1559386,w1,no_signal,0.92,No explicit stance signal in excerpt; keep conservative no_signal.
factory-20260219-lane_a-001,1559386,w2,no_signal,0.92,No explicit stance signal in excerpt; keep conservative no_signal.
factory-20260219-lane_a-001,1559386,w3,no_signal,0.92,No explicit stance signal in excerpt; keep conservative no_signal.
factory-20260219-lane_a-001,1559387,w1,no_signal,0.92,No explicit stance signal in excerpt; keep conservative no_signal.
factory-20260219-lane_a-001,1559387,w2,no_signal,0.92,No explicit stance signal in excerpt; keep conservative no_signal.
factory-20260219-lane_a-001,1559387,w3,no_signal,0.92,No explicit stance signal in excerpt; keep conservative no_signal.
factory-20260219-lane_a-001,1559390,w1,no_signal,0.92,No explicit stance signal in excerpt; keep conservative no_signal.
factory-20260219-lane_a-001,1559390,w2,no_signal,0.92,No explicit stance signal in excerpt; keep conservative no_signal.
factory-20260219-lane_a-001,1559390,w3,no_signal,0.92,No explicit stance signal in excerpt; keep conservative no_signal.
factory-20260219-lane_a-001,1559391,w1,no_signal,0.92,No explicit stance signal in excerpt; keep conservative no_signal.
factory-20260219-lane_a-001,1559391,w2,no_signal,0.92,No explicit stance signal in excerpt; keep conservative no_signal.
factory-20260219-lane_a-001,1559391,w3,no_signal,0.92,No explicit stance signal in excerpt; keep conservative no_signal.
factory-20260219-lane_a-001,1559392,w1,no_signal,0.92,No explicit stance signal in excerpt; keep conservative no_signal.
factory-20260219-lane_a-001,1559392,w2,no_signal,0.92,No explicit stance signal in excerpt; keep conservative no_signal.
factory-20260219-lane_a-001,1559392,w3,no_signal,0.92,No explicit stance signal in excerpt; keep conservative no_signal.
factory-20260219-lane_a-001,1559393,w1,no_signal,0.92,No explicit stance signal in excerpt; keep conservative no_signal.
factory-20260219-lane_a-001,1559393,w2,no_signal,0.92,No explicit stance signal in excerpt; keep conservative no_signal.
factory-20260219-lane_a-001,1559393,w3,no_signal,0.92,No explicit stance signal in excerpt; keep conservative no_signal.
