table_name,row_count,size_mb
admin_levels,4,0.004
causal_estimates,0,0.004
document_fetches,9402,4.016
domains,1,0.004
genders,3,0.004
indicator_observation_records,37431,36.766
indicator_points,37431,2.941
indicator_series,2400,9.391
infoelectoral_archivos_extraccion,188,0.152
infoelectoral_convocatoria_tipos,6,0.004
infoelectoral_convocatorias,69,0.031
infoelectoral_proceso_resultados,191,0.191
infoelectoral_procesos,71,0.039
ingestion_runs,1454,0.555
institutions,8162,0.984
intervention_events,0,0.004
interventions,0,0.004
legal_fragment_responsibilities,15,0.035
legal_fragment_responsibility_evidence,99,0.172
legal_norm_fragments,8,0.012
legal_norm_lineage_edges,8,0.012
legal_norms,12,0.047
liberty_delegated_enforcement_links,8,0.020
liberty_delegated_enforcement_methodologies,1,0.004
liberty_enforcement_methodologies,1,0.004
liberty_enforcement_observations,16,0.023
liberty_indirect_methodologies,1,0.004
liberty_indirect_responsibility_edges,12,0.023
liberty_irlc_methodologies,1,0.004
liberty_proportionality_methodologies,1,0.004
liberty_proportionality_reviews,8,0.020
liberty_restriction_assessments,11,0.027
liberty_right_categories,6,0.004
lost_and_found,1724076,367.082
mandates,145594,72.766
money_contract_records,1985,4.023
money_subsidy_records,205,0.270
parl_initiative_doc_extractions,8932,18.375
parl_initiative_documents,9147,1.781
parl_initiatives,4728,14.734
parl_vote_event_initiatives,8376,2.840
parl_vote_events,8373,282.242
parl_vote_member_votes,1809222,892.336
parties,2705,0.223
party_aliases,4007,0.383
person_identifiers,154343,15.219
person_name_aliases,0,0.004
person_public_data_queue,10640,6.230
persons,136456,19.648
placsp_contract_detail_documents,21392,11.789
placsp_contract_detail_records,1985,18.395
policy_axes,0,0.004
policy_event_axis_scores,0,0.004
policy_events,3058,6.176
policy_instruments,6,0.004
raw_fetches,162,0.062
roles,92,0.016
run_fetches,1202,0.430
sanction_infraction_type_mappings,10,0.016
sanction_infraction_types,10,0.004
sanction_municipal_ordinance_fragments,3,0.004
sanction_municipal_ordinances,20,0.020
sanction_norm_catalog,8,0.043
sanction_norm_fragment_links,8,0.004
sanction_procedural_kpi_definitions,3,0.004
sanction_procedural_metrics,6,0.004
sanction_volume_observations,9,0.016
sanction_volume_sources,9,0.016
source_records,174285,378.820
sources,44,0.016
territories,15403,1.453
text_documents,9581,36.094
topic_evidence,447910,387.051
topic_evidence_reviews,504,0.090
topic_positions,701284,104.609
topic_set_topics,260,0.035
topic_sets,5,0.004
topics,404,0.117
